channel,spend,pred_conversions_lr,pred_conversions_xgb
LinearTV,103686.42964872839,26.265341855589497,31.059986
LinearTV,104580.96705742348,26.338333153168676,31.059986
LinearTV,105475.50446611857,26.41079520979976,31.059986
LinearTV,106370.04187481366,26.482736575138844,31.059986
LinearTV,107264.57928350875,26.5541655889252,31.059986
LinearTV,108159.11669220384,26.625090387853646,31.059986
LinearTV,109053.65410089893,26.695518912166747,31.059986
LinearTV,109948.19150959402,26.76545891198056,31.059986
LinearTV,110842.72891828911,26.834917953356708,31.059986
LinearTV,111737.2663269842,26.903903424132963,31.059986
LinearTV,112631.80373567929,26.972422539523777,31.059986
LinearTV,113526.34114437438,27.040482347501694,31.059986
LinearTV,114420.87855306947,27.108089733969706,31.059986
LinearTV,115315.41596176456,27.175251427734253,31.059986
LinearTV,116209.95337045965,27.241974005288384,31.059986
